OTEXE,TDTE3
16,111805.47
16,115741.94
16,297767
16,131068
16,75573
16,504918
16,32966.61
16,76930
16,88561
16,89444
16,18785
16,74275.96
16,200673
16,367153.16
16,148107.52
16,222920.75
16,171501.2
16,374714.11
16,155490.92
16,362507.36
16,541396
16,139388
16,314536
16,649312
16,3883
16,361057
16,172463
16,16232
16,133379
16,10333
16,332359.09
16,53364.62
16,5822
16,56782
16,79925.1
16,23749.77
16,1134199
16,672442
16,460943
16,344633
16,281245.74
16,562740.83
16,457868.73
16,206839.9
16,27739
16,174724
16,17804
16,17667
16,67524
16,211571
16,22760
16,96945
16,425521.93
16,113078
16,5075
16,271426
16,329588
16,37603
16,487825.52
16,53767
16,28817
16,58138
16,132418
16,581190
16,159444
16,44915
16,228936
16,279788.35
16,16621
16,4811
16,330619
16,41494
16,151221.01
16,221493.19
16,151435
16,7661
16,107272
16,102517
16,209793.2
16,52388
16,44622
16,4093
16,249463
16,29229
16,481574.97
16,32607.88
16,428403.05
16,2063163.75
16,110990.42
16,119645
16,51809
16,43766
16,15833
16,1219739
16,238789
16,86023
16,106432.07
16,5380.92
16,105323
16,106359
16,211778.09
16,23548
16,434375
16,128105
16,15597
16,44536
16,27260
16,359733
16,416312.23
16,628162.16
16,227492
16,492569
16,167434
16,2243214
16,203997
16,243214
16,186735
16,57443.46
16,421835
16,56111
16,21873
16,61668
16,473457
16,24882
16,36359
16,960461
16,172108.25
16,99745
16,175700
16,198839
16,221452
16,75028
16,221634
16,469451.63
16,297065.43
16,204357
16,422888.57
16,254203
16,54723.76
16,325588.09
16,178606
16,346717.29
16,344483
16,153274
16,142454
16,363108
16,466581
16,677352
16,130488
16,1916
16,287204
16,460154
16,222359
16,127014
16,413976
16,278106
16,322285
16,49883
16,69008
16,104616
16,276834
16,257033
16,243548
16,138830
16,147183.23
16,615873.31
16,629977.42
16,240054
16,147330
16,117552
16,2412267
16,150062
16,125865
16,265020
16,284659
16,68363.2
16,191546.2
16,5025
16,20850
16,1343363
16,37662.85
16,82472
16,41949.18
16,234557
16,199082
16,247319
16,39627
16,143097
16,54627.84
16,160908
16,395760.65
16,498652
16,548711
16,896388
16,480810
16,15361
16,53194
16,198179
16,585157
16,132411
16,258253
16,255381
16,200469.86
16,327458
16,301061
16,41844.06
16,299566.86
16,67559.97
16,252717
16,129646
16,36938
16,128661
16,517726
16,333558
16,962303
16,449898
16,263903
16,123870
16,222124
16,264587
16,71486.91
16,36093.13
16,140822
16,83780
16,971322
16,1480581
16,794044
16,592344
16,89324.6
16,4324.65
16,155643
16,493183
16,5924
16,350981
16,357069
16,15203
16,97339
16,278327.09
16,2581387
16,753616
16,990874
16,235238
16,116829
16,11420
16,13744
16,86428
16,335149.91
16,320073.79
16,691336
16,218440.86
16,302934.83
16,238911
16,274507.4
16,29946
16,452921.56
16,852560.9
16,506185.02
16,230448.15
16,475739
16,71052
16,155526.09
16,404101
16,898474
16,141193
16,94448
16,233258
16,331268
16,139707
16,89709.55
16,446111.2
16,0
16,137714
16,19907
16,14246
16,68567.68
16,1242497
16,800659
16,182699.29
16,777766
16,91927.39
16,106145
16,113693
16,246246
16,286209
16,263124
16,30756.76
16,1350825.55
16,597159
16,402348.48
16,14466
16,260394.35
16,0
16,432852
16,98924
16,111807
16,29842
16,65006.59
16,918960.23
16,155528.84
16,141167.98
16,407411
16,196578.93
16,52199.31
16,31169.91
16,135529.79
16,152854.78
16,16489.84
16,67505
16,73741
16,34198
16,181407
16,60301
16,165301
16,654104.29
16,98058.37
16,25449
16,28801
16,77935
16,76823
16,31558
16,154542
16,142935
16,172483
16,155852
16,1146207
16,163631
16,23110
16,90105
16,270982
16,540663
16,135390.85
16,319811
16,300662
16,179889
16,555332.72
16,332874.16
28,101685
28,186867.47
28,316047.05
28,49874
28,64151.82
28,84068.19
28,5611.6
28,87461.79
28,657660
28,6784.18
28,184571
28,159193.82
28,49710
28,65513.24
28,0
28,682621.38
28,157850
28,325468.93
28,164621
28,14743
28,581183
28,484045
28,74160
28,426829.03
28,3578180.93
28,38400
28,190673
28,115852
28,176712
28,62907
28,41827.96
28,426892
28,16604
28,535427.84
28,167745
28,19820
28,5640.8
28,202801.69
28,92567
28,520338.41
28,365382.78
28,273880
28,19206.47
28,2348
28,10316
28,138855
28,218099.55
28,99954.37
28,117392.48
28,47925.58
28,762031.04
28,2203746
28,739430
28,178296
28,920
28,38843.84
28,251821
28,38986
28,1328485.33
28,88479
28,104300.38
28,70362
28,87641
28,114267
28,114831.32
28,285412
28,9424
28,62661.72
28,2688853.1
28,167709
28,7389.54
28,1220
28,617520
28,139743
28,73320
28,9028
28,1046234
28,6456803
28,93762.36
28,132722
28,256062
28,55304
28,81597
28,353584.78
28,9707.77
28,55700
28,387375
28,36092
28,41492.09
28,99640.91
28,61129.7
28,773142
28,321213
28,219434
28,9425
28,521457.9
28,559349
28,497028
28,40666.25
28,49980
28,165078
28,19481
28,218011
28,69221
28,11607
28,735953.94
28,7410
28,8474
28,107525.75
28,42366.91
28,211435
28,33528
28,232845
28,68154
28,15148
28,22144
28,112258
28,32565
28,2590.63
28,329508.63
28,129077
28,266719.38
28,77685.5
28,1935457
28,86535
28,749235.96
28,23126.56
28,97216
28,99286
28,83679
28,293403.89
28,532057.91
28,10893
28,76084.03
28,14135.4
28,63655.01
28,112341.12
28,977
28,14659.7
28,5749.94
28,30369
28,20720
28,118283
28,12163
28,239484
28,1443
28,13558
28,36669
28,60878
28,1290.49
28,124342
28,31140
28,9247
28,81623
28,55447
28,12045
28,0
28,4131.98
28,15561
28,33392.26
28,99290.47
28,51833
28,2539611
28,88854.56
28,153266.47
28,415916.71
28,138175
28,205609
28,6579
28,230694
28,89947.37
28,90232
28,66559
28,484769
28,118069
28,3845
28,8347
28,11815
28,3311.96
28,57955
28,62268
28,88370
28,882281
28,76070.81
28,37200
28,186760
28,178421
28,59406
28,93820
28,290021
28,2680161
28,270875
28,598171
28,370395.12
28,18928.81
28,106788
28,146385
28,425797
28,193819
28,112922.37
28,28872
28,116396
28,91609
28,165301
28,48107
28,14194
28,5074
28,6474
28,6682.23
28,15943
28,646.76
28,165672.57
28,164748.58
28,41939
28,67505.42
28,26343
28,22126.82
28,4227.59
28,90927.82
28,86435.73
28,11685
28,247557
28,380569
28,17868
28,351234.43
28,627360.72
28,33929
28,167694.82
28,135440.46
28,86590
